epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.10656,0.94869,2.80223,1.35913,0.00333,1,0.07509,0.05161,0.64826,3.33367,1.21672,6e-05,6e-05,6e-05
2,9.88069,0.75469,2.34717,1.15584,0.00333,1,0.995,0.86174,0.65983,3.10702,1.13162,0.000137228,0.000137228,0.000137228
3,14.5434,0.73443,1.829,1.11127,0.00333,1,0.995,0.82427,0.59107,3.01346,1.07581,0.000211288,0.000211288,0.000211288
4,19.0983,0.7904,1.35038,1.14569,0.1872,1,0.995,0.75832,0.73121,2.70577,1.14581,0.00028218,0.00028218,0.00028218
5,24.2826,0.69179,1.19243,1.05034,1,0.95986,0.995,0.89507,0.51527,2.3673,1.03848,0.000349904,0.000349904,0.000349904
6,29.2612,0.70392,1.08515,1.13514,1,0.9513,0.995,0.84506,0.73736,2.41725,1.36533,0.00041446,0.00041446,0.00041446
7,34.1691,0.70646,1.15654,1.13549,0.98903,1,0.995,0.87008,0.54358,2.46711,1.00826,0.000475848,0.000475848,0.000475848
8,39.1104,0.68479,1.16218,1.11556,1,0.99673,0.995,0.77665,0.6424,2.51389,1.06878,0.000534068,0.000534068,0.000534068
9,43.9276,0.71459,1.27145,1.12645,1,0.97688,0.995,0.8576,0.69068,2.41542,1.11901,0.00058912,0.00058912,0.00058912
10,48.6806,0.71244,1.0725,1.10443,0.99202,1,0.995,0.87011,0.57433,2.0504,1.05103,0.000641004,0.000641004,0.000641004
11,53.6062,0.66165,1.078,1.08564,1,0.9975,0.995,0.83922,0.66321,1.90743,1.1153,0.00068972,0.00068972,0.00068972
12,58.3425,0.68889,1.0767,1.07871,1,0.99488,0.995,0.90132,0.56008,1.76814,1.04504,0.000735268,0.000735268,0.000735268
13,63.0619,0.75724,1.20461,1.20364,0.98828,1,0.995,0.82011,0.64764,1.77712,1.07882,0.000777648,0.000777648,0.000777648
14,67.8051,0.77528,1.17691,1.13534,0.9917,1,0.995,0.80794,0.77222,1.78229,1.23294,0.00081686,0.00081686,0.00081686
15,72.7399,0.7163,1.07688,1.10931,0.97124,1,0.995,0.76417,0.86918,2.04227,1.33821,0.000852904,0.000852904,0.000852904
16,77.515,0.67671,1.08935,1.07728,0.97124,1,0.995,0.76417,0.86918,2.04227,1.33821,0.00088578,0.00088578,0.00088578
17,82.2497,0.67002,0.96382,1.0437,0.97783,1,0.995,0.73296,0.84669,2.05716,1.37057,0.000915488,0.000915488,0.000915488
18,87.1978,0.63717,1.01135,1.07431,0.96907,1,0.995,0.80383,0.58906,1.73078,1.08944,0.000942028,0.000942028,0.000942028
19,91.9895,0.62682,0.91791,1.01873,0.96907,1,0.995,0.80383,0.58906,1.73078,1.08944,0.0009654,0.0009654,0.0009654
20,96.9327,0.59575,0.95628,1.06068,0.98717,1,0.995,0.87007,0.54953,1.38193,1.09977,0.000985604,0.000985604,0.000985604
21,102.235,0.65618,0.94791,1.04038,0.98836,1,0.995,0.87873,0.67654,1.35945,1.18784,0.00100264,0.00100264,0.00100264
22,108.934,0.62146,0.84277,1.04838,0.98836,1,0.995,0.87873,0.67654,1.35945,1.18784,0.00101651,0.00101651,0.00101651
23,114.964,0.55893,0.81212,0.99017,0.98852,1,0.995,0.85757,0.63631,1.32899,1.13305,0.00102721,0.00102721,0.00102721
24,121.209,0.5904,0.85999,1.01948,0.98852,1,0.995,0.85757,0.63631,1.32899,1.13305,0.00103474,0.00103474,0.00103474
25,126.941,0.55761,0.91725,1.04818,0.9893,1,0.995,0.86428,0.57287,1.24644,1.04575,0.0010391,0.0010391,0.0010391
26,131.947,0.63596,0.86686,1.02116,0.9893,1,0.995,0.86428,0.57287,1.24644,1.04575,0.00101,0.00101,0.00101
27,137.007,0.64775,0.86201,1.05366,0.98894,1,0.995,0.85803,0.71139,1.3645,1.15465,0.0009704,0.0009704,0.0009704
28,141.656,0.59034,0.84326,1.00949,0.98894,1,0.995,0.85803,0.71139,1.3645,1.15465,0.0009308,0.0009308,0.0009308
29,146.3,0.5608,0.91027,1.01609,0.9888,1,0.995,0.86623,0.61483,1.44488,1.0764,0.0008912,0.0008912,0.0008912
30,150.771,0.63225,0.84543,1.07448,0.9888,1,0.995,0.86623,0.61483,1.44488,1.0764,0.0008516,0.0008516,0.0008516
31,155.276,0.54677,0.80586,1.03151,0.98819,1,0.995,0.87044,0.51754,1.52587,1.00833,0.000812,0.000812,0.000812
32,159.889,0.60921,0.83384,1.03404,0.98819,1,0.995,0.87044,0.51754,1.52587,1.00833,0.0007724,0.0007724,0.0007724
33,164.542,0.53947,0.78398,1.01727,0.98785,1,0.995,0.88908,0.45267,1.37916,0.95681,0.0007328,0.0007328,0.0007328
34,169.249,0.54686,0.76492,1.00451,0.98785,1,0.995,0.88908,0.45267,1.37916,0.95681,0.0006932,0.0006932,0.0006932
35,173.776,0.52025,0.82879,1.00106,0.98884,1,0.995,0.91382,0.50747,1.29555,0.97712,0.0006536,0.0006536,0.0006536
36,178.255,0.59158,0.77547,1.04176,0.98884,1,0.995,0.91382,0.50747,1.29555,0.97712,0.000614,0.000614,0.000614
37,182.72,0.62382,0.80815,0.99232,0.98879,1,0.995,0.83307,0.65396,1.17576,1.0867,0.0005744,0.0005744,0.0005744
38,187.393,0.58363,0.78759,0.99696,0.98879,1,0.995,0.83307,0.65396,1.17576,1.0867,0.0005348,0.0005348,0.0005348
39,191.841,0.56996,0.777,1.00222,0.98883,1,0.995,0.84132,0.61279,1.12905,1.04514,0.0004952,0.0004952,0.0004952
40,196.333,0.54652,0.74977,0.97453,0.98883,1,0.995,0.84132,0.61279,1.12905,1.04514,0.0004556,0.0004556,0.0004556
41,200.78,0.49534,1.15764,0.98609,0.98912,1,0.995,0.88881,0.50567,1.11249,0.949,0.000416,0.000416,0.000416
42,205.598,0.45651,1.10918,1.00259,0.98912,1,0.995,0.88881,0.50567,1.11249,0.949,0.0003764,0.0003764,0.0003764
43,210.038,0.4161,1.02843,0.93153,0.9892,1,0.995,0.92003,0.4748,1.1037,0.93024,0.0003368,0.0003368,0.0003368
44,214.622,0.39138,1.02462,0.93735,0.9892,1,0.995,0.92003,0.4748,1.1037,0.93024,0.0002972,0.0002972,0.0002972
45,219.065,0.45403,1.05569,1.0043,0.98915,1,0.995,0.93254,0.43225,1.08894,0.94292,0.0002576,0.0002576,0.0002576
46,223.48,0.41025,1.05721,0.95745,0.98915,1,0.995,0.93254,0.43225,1.08894,0.94292,0.000218,0.000218,0.000218
47,227.874,0.40582,1.02079,0.93163,0.98908,1,0.995,0.90132,0.40674,1.0768,0.93155,0.0001784,0.0001784,0.0001784
48,232.504,0.38202,0.9777,0.89524,0.98908,1,0.995,0.90132,0.40674,1.0768,0.93155,0.0001388,0.0001388,0.0001388
49,236.955,0.38982,1.01618,0.93694,0.98934,1,0.995,0.90132,0.40132,1.05225,0.92711,9.92e-05,9.92e-05,9.92e-05
50,241.419,0.3739,1.00461,0.90544,0.98934,1,0.995,0.90132,0.40132,1.05225,0.92711,5.96e-05,5.96e-05,5.96e-05
